budget,id,original_title,runtime,title,vote_average,vote_count
1300000,488,The African Queen,105,The African Queen,7.4,232
1000000,22733,Beat the Devil,89,Beat the Devil,6.2,31
3000000,261,Cat on a Hot Tin Roof,108,Cat on a Hot Tin Roof,7.6,168
0,57575,The Last Time I Saw Paris,116,The Last Time I Saw Paris,5.1,9
0,32574,Meet John Doe,122,Meet John Doe,7.3,52
0,22657,Algiers,96,Algiers,5.8,6
0,76464,Something to Sing About,93,Something to Sing About,3.8,2
4,22649,A Farewell to Arms,89,A Farewell to Arms,6.2,29
0,176841,Moonlight Murder,65,Moonlight Murder,6,1
0,125587,Nothing Personal,83,Nothing Personal,4,1
0,39448,Huang jia shi jie,93,"Yes, Madam",7.4,11
0,52855,Dangerous Ground,95,Dangerous Ground,5,8
0,39940,Picnic,115,Picnic,6.7,19
0,172868,Madagascar Skin,96,Madagascar Skin,0,0
0,85328,The Pompatus of Love,99,The Pompatus of Love,5.3,2
0,124632,Small Wonders,77,Small Wonders,0,0
0,11076,Fly Away Home,107,Fly Away Home,6.6,114
0,63945,Bliss,103,Bliss,4.8,6
0,58985,Grace of My Heart,116,Grace of My Heart,6.5,15
0,890,Schlafes Bruder,127,Brother of Sleep,6.8,6
25000000,10861,Maximum Risk,100,Maximum Risk,5.3,104
28000000,1770,Michael Collins,132,Michael Collins,6.8,98
0,44465,The Rich Man's Wife,94,The Rich Man's Wife,4.9,11
0,2033,Infinity,119,Infinity,0,0
0,18203,Big Night,107,Big Night,6.8,45
67000000,9333,Last Man Standing,101,Last Man Standing,6.2,263
0,47260,Caught,110,Caught,6.5,5
9000000,9400,Set It Off,118,Set It Off,6.9,66
0,9401,2 Days in the Valley,104,2 Days in the Valley,5.9,73
2300000,12241,Curdled,88,Curdled,6.2,29
0,25739,L'associé,94,L'associé,6,3
0,161806,Ed's Next Move,88,Ed's Next Move,3,1
38000000,11306,Extreme Measures,118,Extreme Measures,5.7,80
45000000,9625,The Glimmer Man,92,The Glimmer Man,4.7,102
0,10680,D3: The Mighty Ducks,104,D3: The Mighty Ducks,5.3,99
50000000,6346,The Chamber,113,The Chamber,5.9,62
0,18660,The Apple Dumpling Gang,100,The Apple Dumpling Gang,6.6,34
0,35115,"Davy Crockett, King of the Wild Frontier",93,"Davy Crockett, King of the Wild Frontier",5.9,14
0,14821,Escape to Witch Mountain,97,Escape to Witch Mountain,6.5,60
0,14136,The Love Bug,107,The Love Bug,6,126
0,10869,Herbie Rides Again,88,Herbie Rides Again,5.9,77
0,22660,Old Yeller,83,Old Yeller,7,68
0,19186,The Parent Trap,129,The Parent Trap,6.8,92
0,31102,Pollyanna,134,Pollyanna,6.9,50
0,6878,Homeward Bound: The Incredible Journey,84,Homeward Bound: The Incredible Journey,6.6,218
0,15944,The Shaggy Dog,104,The Shaggy Dog,6.2,22
0,18444,Swiss Family Robinson,126,Swiss Family Robinson,7,88
0,20723,That Darn Cat!,112,That Darn Cat!,6.4,28
5000000,173,"20,000 Leagues Under the Sea",127,"20,000 Leagues Under the Sea",6.9,160
14000000,864,Cool Runnings,98,Cool Runnings,6.8,510
0,24795,Angels in the Outfield,102,Angels in the Outfield,5.7,124
2900000,11224,Cinderella,74,Cinderella,6.8,1760
0,81310,Winnie the Pooh and the Blustery Day,25,Winnie the Pooh and the Blustery Day,7.8,20
0,15947,The Three Caballeros,71,The Three Caballeros,6.2,108
3000000,9078,The Sword in the Stone,79,The Sword in the Stone,6.9,935
0,29682,So Dear to My Heart,79,So Dear to My Heart,6.3,5
48000000,8367,Robin Hood: Prince of Thieves,143,Robin Hood: Prince of Thieves,6.6,937
6000000,433,Mary Poppins,139,Mary Poppins,7.4,1217
812000,11360,Dumbo,64,Dumbo,6.8,1206
10000000,11114,Pete's Dragon,128,Pete's Dragon,6.4,201
20000000,12335,Bedknobs and Broomsticks,117,Bedknobs and Broomsticks,6.8,260
3000000,12092,Alice in Wonderland,75,Alice in Wonderland,7,1557
12000000,10948,The Fox and the Hound,82,The Fox and the Hound,7,884
3000000,11229,Freeway,110,Freeway,6.5,95
8200000,15121,The Sound of Music,174,The Sound of Music,7.4,966
28000000,562,Die Hard,131,Die Hard,7.5,4005
10000000,10163,The Lawnmower Man,108,The Lawnmower Man,5.4,198
0,48862,Unhook the Stars,103,Unhook the Stars,6.2,11
0,117036,Synthetic Pleasures,85,Synthetic Pleasures,0,0
0,47199,The Secret Agent,95,The Secret Agent,5,7
4500000,11159,Secrets & Lies,142,Secrets & Lies,7.1,127
0,9591,That Thing You Do!,108,That Thing You Do!,6.8,230
0,30500,To Gillian on Her 37th Birthday,93,To Gillian on Her 37th Birthday,5.1,13
16000000,41843,Surviving Picasso,125,Surviving Picasso,5.3,21
0,55058,Love Is All There Is,105,Love Is All There Is,5.5,2
0,10938,Beautiful Thing,90,Beautiful Thing,7.3,76
65000000,11412,The Long Kiss Goodnight,120,The Long Kiss Goodnight,6.4,323
50000000,10586,The Ghost and the Darkness,109,The Ghost and the Darkness,6.4,238
0,42314,Looking for Richard,112,Looking for Richard,6.9,33
0,27845,Trees Lounge,95,Trees Lounge,6.7,51
0,108365,The Proprietor,0,The Proprietor,0,0
0,23223,Normal Life,101,Normal Life,6.8,8
2400000,49471,Get on the Bus,120,Get on the Bus,7,11
45000000,38153,Shadow Conspiracy,103,Shadow Conspiracy,4,12
7000000,25147,Jude,123,Jude,6.6,38
20000000,9716,Everyone Says I Love You,101,Everyone Says I Love You,6.5,149
0,43777,Azúcar amarga,102,Bitter Sugar,6.3,3
14500000,454,Romeo + Juliet,120,Romeo + Juliet,6.7,1406
200000,10218,Swingers,94,Swingers,6.8,255
44000000,819,Sleepers,147,Sleepers,7.3,729
0,38191,The Sunchaser,122,The Sunchaser,6.1,8
0,56830,Johns,96,Johns,6,6
0,11238,Aladdin and the King of Thieves,81,Aladdin and the King of Thieves,6.1,494
0,27256,The Woman in Question,88,The Woman in Question,5.2,3
0,31530,Shall We Dance,109,Shall We Dance,7.9,22
0,66473,A Damsel in Distress,101,A Damsel in Distress,7,4
0,28120,Crossfire,86,Crossfire,6.1,26
0,1834,"Murder, My Sweet",95,"Murder, My Sweet",7.2,48
0,26282,Macao,81,Macao,5.6,8
120,37218,For the Moment,115,For the Moment,7.4,3
3000000,252,Willy Wonka & the Chocolate Factory,100,Willy Wonka & the Chocolate Factory,7.4,826
0,116356,La vie sexuelle des Belges 1950-1978,85,The Sexual Life of the Belgians,5,2
0,16372,The Innocents,100,The Innocents,7.5,126
2000000,11561,Sleeper,89,Sleeper,7,206
2000000,11302,Bananas,82,Bananas,6.7,167
7500000,623,A Fish Called Wanda,108,A Fish Called Wanda,7.1,576
4000000,583,Life of Brian,94,Life of Brian,7.7,1230
0,12614,Victor/Victoria,132,Victor/Victoria,6.9,89
0,21711,The Candidate,110,The Candidate,6.9,39
12000000,11575,The Great Race,160,The Great Race,7.2,64
2500000,475,Bonnie and Clyde,111,Bonnie and Clyde,7.6,384
0,11331,The Old Man and the Sea,86,The Old Man and the Sea,6,25
1400000,521,Dial M for Murder,104,Dial M for Murder,7.9,539
0,21202,Madame Butterfly,135,Madame Butterfly,4.8,3
6000000,88,Dirty Dancing,100,Dirty Dancing,7.1,1371
1200000,500,Reservoir Dogs,99,Reservoir Dogs,8.1,3821
6000000,792,Platoon,120,Platoon,7.5,1236
6500000,8491,Weekend at Bernie's,97,Weekend at Bernie's,6.4,255
49000000,402,Basic Instinct,127,Basic Instinct,6.5,869
38000000,10537,The Doors,140,The Doors,6.7,285
3705538,11386,The Crying Game,112,The Crying Game,6.9,180
12500000,9504,Glengarry Glen Ross,100,Glengarry Glen Ross,7.5,330
12000000,15764,Sophie's Choice,151,Sophie's Choice,7.4,149
10500000,601,E.T. the Extra-Terrestrial,115,E.T. the Extra-Terrestrial,7.3,3359
0,67365,The Search for One-eye Jimmy,80,The Search for One-eye Jimmy,6.3,4
0,25842,A Christmas Carol,69,A Christmas Carol,7,34
60000000,2119,Days of Thunder,107,Days of Thunder,5.9,359
15000000,744,Top Gun,110,Top Gun,6.7,1736
0,136311,American Strays,97,American Strays,6.8,5
1500000,221,Rebel Without a Cause,111,Rebel Without a Cause,7.6,351
1800000,702,A Streetcar Named Desire,125,A Streetcar Named Desire,7.6,291
0,25750,Children of the Corn IV: The Gathering,85,Children of the Corn IV: The Gathering,4.6,41
0,17642,The Leopard Son,87,The Leopard Son,0,0
0,427043,Charms Zwischenfälle,88,Charm's  Incidents,0,0
0,146341,Bird of Prey,105,Bird of Prey,0,0
0,9305,Microcosmos : Le Peuple de l'herbe,80,Microcosmos,7.7,61
0,37616,Palookaville,92,Palookaville,5.4,7
0,11112,The Associate,114,The Associate,6.2,49
12500000,21612,The Funeral,99,The Funeral,7.3,31
0,141210,The Sleepover,6,The Sleepover,8,1
0,102461,La fille seule,90,A Single Girl,6.8,8
0,36998,Le huitième jour,118,The Eighth Day,7,56
0,200383,North Star,90,North Star,5.2,3
0,116844,Drunks,90,Drunks,0,0
36000000,1630,The People vs. Larry Flynt,129,The People vs. Larry Flynt,6.8,257
0,26626,Glory Daze,100,Glory Daze,5.8,15
0,124837,A Perfect Candidate,105,A Perfect Candidate,5.3,2
0,11816,On Golden Pond,109,On Golden Pond,7.3,101
5000000,11843,The Return of the Pink Panther,113,The Return of the Pink Panther,6.7,138
6788000,10379,Drop Dead Fred,103,Drop Dead Fred,5.9,107
70000000,2756,The Abyss,139,The Abyss,7.1,822
1000000,790,The Fog,89,The Fog,6.4,318
6000000,1103,Escape from New York,99,Escape from New York,6.9,720
1000000,11298,The Howling,91,The Howling,6.4,165
4940939,4480,Jean de Florette,120,Jean de Florette,7.6,113
0,4481,Manon des Sources,120,Manon of the Spring,7.8,103
0,49688,Johnny cien pesos,90,Johnny 100 Pesos,6.3,3
0,10765,Private Benjamin,109,Private Benjamin,6,103
400000,762,Monty Python and the Holy Grail,91,Monty Python and the Holy Grail,7.8,1742
0,44497,Hustler White,79,Hustler White,6.8,12
0,85588,Dadetown,93,Dadetown,8,1
0,278621,Everything Relative,110,Everything Relative,4,1
0,99479,Entertaining Angels - The Dorothy Day Story,112,Entertaining Angels - The Dorothy Day Story,5,1
500000,55049,Trois vies et une seule mort,123,Three Lives and Only One Death,8,5
0,124829,The Line King: The Al Hirschfeld Story,86,The Line King: The Al Hirschfeld Story,0,0
0,79306,Snowriders,96,Snowriders,0,0
0,356054,Curtis's Charm,74,Curtis's Charm,0,0
0,10548,When We Were Kings,89,When We Were Kings,7.3,54
0,531,The Wrong Trousers,30,The Wrong Trousers,7.6,266
0,104931,JLG/JLG - autoportrait de décembre,62,JLG/JLG: Self-Portrait in December,7.7,3
0,4483,Le Retour de Martin Guerre,122,The Return of Martin Guerre,6.7,22
0,18919,Faust,97,Faust,7.4,22
0,31556,He Walked by Night,79,He Walked by Night,6.4,17
0,26167,Raw Deal,79,Raw Deal,7.2,19
0,26174,T-Men,92,T-Men,6.4,15
0,61461,I bambini ci guardano,84,The Children Are Watching Us,7.2,11
0,117500,La symphonie pastorale,110,Pastoral Symphony,4.7,3
0,218713,Here Comes Cookie,65,Here Comes Cookie,8,1
0,217802,Love In Bloom,75,Love In Bloom,0,0
0,127973,Six of a Kind,62,Six of a Kind,3.5,2
0,659,Die Blechtrommel,142,The Tin Drum,7,93
0,30892,The Ruling Class,154,The Ruling Class,6.8,29
0,86369,Mina Tannenbaum,0,Mina Tannenbaum,4.8,3
0,8074,Deux ou trois choses que je sais d'elle,100,2 or 3 Things I Know About Her,7,33
0,124676,The Bloody Child,85,The Bloody Child,0,0
0,38554,Dear God,112,Dear God,5.1,17
7000000,49763,Bad Moon,80,Bad Moon,5.7,33
0,41326,American Dream,98,American Dream,6,2
0,36555,Best of the Best 3: No Turning Back,90,Best of the Best 3: No Turning Back,5.8,13
0,10608,Bob Roberts,102,Bob Roberts,6.5,44
0,11216,Nuovo Cinema Paradiso,124,Cinema Paradiso,8.2,834
0,7452,"The Cook, the Thief, His Wife & Her Lover",125,"The Cook, the Thief, His Wife & Her Lover",7.3,137
0,64567,Grosse fatigue,0,Dead Tired,5.6,9
4000000,892,Delicatessen,99,Delicatessen,7.4,320
0,1600,La double vie de Véronique,97,The Double Life of Veronique,7.3,154
0,26561,Enchanted April,89,Enchanted April,6.9,25
935000,975,Paths of Glory,88,Paths of Glory,8.2,565
0,18129,The Grifters,110,The Grifters,6.5,112
0,54405,Hear My Song,113,Hear My Song,4.1,4
0,150823,The Shooter,91,The Shooter,5,1
27000000,409,The English Patient,162,The English Patient,7,559
0,38251,Mediterraneo,96,Mediterraneo,7.4,157
645180,10161,My Left Foot: The Story of Christy Brown,103,My Left Foot: The Story of Christy Brown,7.5,208
1200000,1412,"Sex, Lies, and Videotape",100,"Sex, Lies, and Videotape",6.7,188
0,41768,Passion Fish,135,Passion Fish,6.7,7
3000000,10409,Strictly Ballroom,94,Strictly Ballroom,6.2,83
0,14285,The Thin Blue Line,103,The Thin Blue Line,7.9,109
0,2469,¡Átame!,111,Tie Me Up! Tie Me Down!,7,102
4,10174,Madonna: Truth or Dare,119,Madonna: Truth or Dare,6.3,32
500000,31225,Paris is Burning,71,Paris is Burning,8.2,67
3000000,510,One Flew Over the Cuckoo's Nest,133,One Flew Over the Cuckoo's Nest,8.3,3001
0,11455,Up in Smoke,86,Up in Smoke,6.7,201
18000000,1891,The Empire Strikes Back,124,The Empire Strikes Back,8.2,5998
16000000,2493,The Princess Bride,98,The Princess Bride,7.6,1518
18000000,85,Raiders of the Lost Ark,115,Raiders of the Lost Ark,7.7,3949
15000000,68,Brazil,132,Brazil,7.6,877
18500000,679,Aliens,137,Aliens,7.7,3282
1200000,429,"Il buono, il brutto, il cattivo",161,"The Good, the Bad and the Ugly",8.1,2371
0,13446,Withnail & I,107,Withnail & I,7.4,173
350000,389,12 Angry Men,96,12 Angry Men,8.2,2130
15000000,947,Lawrence of Arabia,216,Lawrence of Arabia,7.8,870
2200000,185,A Clockwork Orange,136,A Clockwork Orange,8,3432
2000000,595,To Kill a Mockingbird,129,To Kill a Mockingbird,7.9,676
31500000,28,Apocalypse Now,153,Apocalypse Now,8,2112
5000000,335,C'era una volta il West,175,Once Upon a Time in the West,8.1,1160
32350000,1892,Return of the Jedi,135,Return of the Jedi,7.9,4763
2500000,144,Der Himmel über Berlin,128,Wings of Desire,7.5,256
0,1092,The Third Man,104,The Third Man,7.9,431
25000000,769,GoodFellas,145,GoodFellas,8.2,3211
11000000,348,Alien,117,Alien,7.9,4564
11000000,766,Army of Darkness,81,Army of Darkness,7.3,852
0,175,Le Grand Bleu,168,The Big Blue,7.6,364
11500000,11645,乱,162,Ran,7.9,349
0,10835,喋血雙雄,110,The Killer,7.6,179
806948,539,Psycho,109,Psycho,8.3,2405
27000000,525,The Blues Brothers,133,The Blues Brothers,7.5,1092
13000000,240,The Godfather: Part II,200,The Godfather: Part II,8.3,3418
17000000,600,Full Metal Jacket,116,Full Metal Jacket,7.9,2595
0,530,A Grand Day Out,23,A Grand Day Out,7.4,199
9000000,10705,Henry V,137,Henry V,7.4,73
18000000,279,Amadeus,160,Amadeus,7.8,1107
0,3109,The Quiet Man,129,The Quiet Man,7.3,118
30000000,311,Once Upon a Time in America,229,Once Upon a Time in America,8.3,1104
18000000,1578,Raging Bull,129,Raging Bull,7.7,968
4000000,703,Annie Hall,93,Annie Hall,7.8,1044
27000000,9549,The Right Stuff,193,The Right Stuff,7.4,241
0,1398,Сталкер,163,Stalker,7.8,356
14000000,387,Das Boot,149,Das Boot,7.9,623
5500000,9277,The Sting,129,The Sting,7.9,639
1200000,343,Harold and Maude,91,Harold and Maude,7.7,266
700000,37291,Trust,107,Trust,6.5,24
0,490,Det sjunde inseglet,96,The Seventh Seal,7.9,569
0,11235,Local Hero,111,Local Hero,7,81
6400000,218,The Terminator,108,The Terminator,7.4,4208
3000000,763,Braindead,104,Braindead,7.4,388
18000000,9665,Glory,122,Glory,7.4,391
0,18971,Rosencrantz & Guildenstern Are Dead,117,Rosencrantz & Guildenstern Are Dead,7.3,75
0,696,Manhattan,96,Manhattan,7.8,600
14000000,379,Miller's Crossing,115,Miller's Crossing,7.5,431
16400000,207,Dead Poets Society,129,Dead Poets Society,8.1,2786
3000000,37247,The Graduate,106,The Graduate,7.6,855
829000,1480,Touch of Evil,95,Touch of Evil,7.6,292
0,9322,Nikita,115,La Femme Nikita,7,511
3000000,826,The Bridge on the River Kwai,161,The Bridge on the River Kwai,7.7,554
0,422,8½,138,8½,7.9,427
6000000,829,Chinatown,130,Chinatown,7.9,939
1200000,828,The Day the Earth Stood Still,92,The Day the Earth Stood Still,7.3,323
3800000,3090,The Treasure of the Sierra Madre,126,The Treasure of the Sierra Madre,7.9,285
25710,9964,Bad Taste,91,Bad Taste,6.4,196
0,3063,Duck Soup,68,Duck Soup,7.6,170
0,13667,Better Off Dead...,97,Better Off Dead...,6.8,164
19000000,694,The Shining,144,The Shining,8.1,3890
8000000,235,Stand by Me,89,Stand by Me,7.8,1568
0,832,M,117,M,8,465
3600000,765,Evil Dead II,84,Evil Dead II,7.5,760
4000000,5925,The Great Escape,172,The Great Escape,7.8,731
15000000,11778,The Deer Hunter,183,The Deer Hunter,7.8,943
0,4485,Diva,117,Diva,6.7,37
14600000,137,Groundhog Day,101,Groundhog Day,7.4,2358
14000000,33,Unforgiven,131,Unforgiven,7.7,1133
80000000,982,The Manchurian Candidate,126,The Manchurian Candidate,7.7,188
0,8428,Pump up the Volume,105,Pump up the Volume,7,86
1120175,212,Arsenic and Old Lace,118,Arsenic and Old Lace,7.4,234
19000000,105,Back to the Future,116,Back to the Future,8,6239
11000000,1633,Fried Green Tomatoes,130,Fried Green Tomatoes,7.6,298
12000000,11202,Patton,172,Patton,7.3,327
0,1554,Down by Law,107,Down by Law,7.2,149
8000000,149,アキラ,124,Akira,7.8,792
16000000,8009,Highlander,116,Highlander,6.8,642
3000000,903,Cool Hand Luke,126,Cool Hand Luke,7.7,390
0,11673,Cyrano de Bergerac,137,Cyrano de Bergerac,6.8,131
2800000,3034,Young Frankenstein,106,Young Frankenstein,7.7,880
3500000,339,Night on Earth,129,Night on Earth,7.5,165
0,10404,大红灯笼高高挂,125,Raise the Red Lantern,7.8,139
2000000,914,The Great Dictator,125,The Great Dictator,8.1,756
2280000,756,Fantasia,124,Fantasia,7.2,831
730000,288,High Noon,85,High Noon,7.6,343
0,910,The Big Sleep,116,The Big Sleep,7.6,244
0,2640,Heathers,102,Heathers,7.3,387
5100000,16633,Somewhere in Time,103,Somewhere in Time,7.1,104
15000000,665,Ben-Hur,212,Ben-Hur,7.5,660
2500000,11031,This Is Spinal Tap,82,This Is Spinal Tap,7.6,413
0,11314,Koyaanisqatsi,87,Koyaanisqatsi,7.7,140
0,15143,Some Kind of Wonderful,95,Some Kind of Wonderful,6.9,104
48000000,89,Indiana Jones and the Last Crusade,127,Indiana Jones and the Last Crusade,7.6,3221
0,10322,Being There,130,Being There,7.7,243
22000000,783,Gandhi,191,Gandhi,7.4,730
17000000,10644,The Unbearable Lightness of Being,171,The Unbearable Lightness of Being,7,89
3000000,11257,A Room with a View,117,A Room with a View,6.9,164
0,14370,Real Genius,106,Real Genius,6.6,121
12000000,12104,Pink Floyd: The Wall,95,Pink Floyd: The Wall,7.7,363
14400000,625,The Killing Fields,141,The Killing Fields,7.5,180
0,8816,Mitt liv som hund,101,My Life as a Dog,7.3,70
1900000,830,Forbidden Planet,98,Forbidden Planet,7.2,238
0,2323,Field of Dreams,107,Field of Dreams,7.1,383
0,983,The Man Who Would Be King,129,The Man Who Would Be King,7.6,148
6000000,642,Butch Cassidy and the Sundance Kid,110,Butch Cassidy and the Sundance Kid,7.4,659
1746964,655,"Paris, Texas",147,"Paris, Texas",7.7,282
23000000,10341,Bis ans Ende der Welt,287,Until the End of the World,6.3,45
16000000,639,When Harry Met Sally...,96,When Harry Met Sally...,7.3,974
0,266022,I Shot a Man in Vegas,86,I Shot a Man in Vegas,0,0
0,168450,Parallel Sons,93,Parallel Sons,5,1
0,30180,Hype!,84,Hype!,6.8,12
0,31388,Santa with Muscles,93,Santa with Muscles,3.5,20
0,41801,Female Perversions,119,Female Perversions,5.4,10
0,66034,Mad Dog Time,93,Mad Dog Time,6.2,12
0,348138,Breathing Room,90,Breathing Room,0,0
0,96288,Paris Was a Woman,75,Paris Was a Woman,7,1
0,61536,I'm Not Rappaport,135,I'm Not Rappaport,6.2,8
0,18762,Blue Juice,90,Blue Juice,3.6,13
0,331367,Kids of Survival,0,Kids of Survival,0,0
50000000,8077,Alien³,114,Alien³,6.2,1664
10000000,814,An American Werewolf in London,97,An American Werewolf in London,7.2,571
0,41671,Amityville: It's About Time,91,Amityville: It's About Time,4.1,21
0,27214,Amityville 3-D,105,Amityville 3-D,4,40
0,52263,Amityville: Dollhouse,93,Amityville: Dollhouse,3.5,17
1500000,33519,Amityville: A New Generation,90,Amityville: A New Generation,2.8,17
0,16235,Amityville II: The Possession,104,Amityville II: The Possession,5.9,59
0,11449,The Amityville Horror,117,The Amityville Horror,6.2,192
0,41848,The Amityville Curse,91,The Amityville Curse,2.7,19
0,25944,Blood for Dracula,103,Blood for Dracula,5.8,22
5000000,24913,April Fool's Day,89,April Fool's Day,5.8,74
0,49126,Audrey Rose,113,Audrey Rose,5.8,34
0,32076,The Believers,114,The Believers,6.2,39
2500000,571,The Birds,119,The Birds,7.3,959
240000,8851,The Blob,86,The Blob,6.2,147
2000000,37843,Blood Beach,92,Blood Beach,4.9,18
0,32146,Body Parts,88,Body Parts,5.6,24
0,30346,The Body Snatcher,77,The Body Snatcher,6.8,47
40000000,6114,Dracula,128,Dracula,7.1,1087
393750,229,Bride of Frankenstein,75,Bride of Frankenstein,7.4,208
0,13549,Burnt Offerings,116,Burnt Offerings,6.6,58
6000000,9529,Candyman,99,Candyman,6.2,303
35000000,1598,Cape Fear,128,Cape Fear,7,692
0,11349,Cape Fear,105,Cape Fear,7.2,125
1800000,7340,Carrie,98,Carrie,7,977
0,6217,Cat People,118,Cat People,6,97
1800000,377,A Nightmare on Elm Street,91,A Nightmare on Elm Street,7.2,1212
0,653,"Nosferatu, eine Symphonie des Grauens",94,Nosferatu,7.7,373
0,28198,Nosferatu a Venezia,97,Vampire in Venice,8.5,2
2800000,794,The Omen,111,The Omen,7.2,485
26000000,31640,Blood and Wine,101,Blood and Wine,5.5,34
6000000,8744,Albino Alligator,97,Albino Alligator,5.6,45
42000000,25189,The Mirror Has Two Faces,126,The Mirror Has Two Faces,6.5,47
0,145,Breaking the Waves,159,Breaking the Waves,7.2,213
0,2212,Nightwatch,102,Nightwatch,6.2,104
46000000,199,Star Trek: First Contact,111,Star Trek: First Contact,7,671
0,7863,Shine,105,Shine,7.3,136
1000000,12498,Sling Blade,135,Sling Blade,7.4,236
60000000,9279,Jingle All the Way,89,Jingle All the Way,5.5,583
0,53234,Identificazione di una donna,128,Identification of a Woman,5.8,15
0,17204,Paradise Lost: The Child Murders at Robin Hood Hills,150,Paradise Lost: The Child Murders at Robin Hood Hills,7.9,38
40000000,21539,The Preacher's Wife,124,The Preacher's Wife,5.4,55
2535000,85589,Kjærlighetens kjøtere,118,Zero Kelvin,6.4,5
3000000,12709,Ridicule,102,Ridicule,7.4,30
25000000,20539,The Crucible,124,The Crucible,6.7,134
54000000,11674,101 Dalmatians,103,101 Dalmatians,5.6,722
0,199512,Il Cristo proibito,0,The Forbidden Christ,5.5,2
0,64900,J'ai pas sommeil,112,I Can't Sleep,5,1
70000000,1573,Die Hard 2,124,Die Hard 2,6.6,1920
35000000,152,Star Trek: The Motion Picture,132,Star Trek: The Motion Picture,6.2,541
27000000,174,Star Trek VI: The Undiscovered Country,113,Star Trek VI: The Undiscovered Country,6.7,421
30000000,172,Star Trek V: The Final Frontier,107,Star Trek V: The Final Frontier,5.6,384
12000000,154,Star Trek II: The Wrath of Khan,113,Star Trek II: The Wrath of Khan,7.3,688
18000000,157,Star Trek III: The Search for Spock,105,Star Trek III: The Search for Spock,6.4,443
24000000,168,Star Trek IV: The Voyage Home,119,Star Trek IV: The Voyage Home,6.9,490
80000000,364,Batman Returns,126,Batman Returns,6.6,1706
13000000,11967,Young Guns,107,Young Guns,6.6,262
20000000,9086,Young Guns II,132,Young Guns II,6.3,165
6000000,621,Grease,110,Grease,7.2,1633
13200000,9037,Grease 2,115,Grease 2,4.9,185
12000000,10173,Marked for Death,94,Marked for Death,5.6,100
0,55687,Adrenalin: Fear the Rush,77,Adrenalin: Fear the Rush,3.9,19
0,168535,The Substance of Fire,97,The Substance of Fire,6,1
35000000,8845,Under Siege,103,Under Siege,6.1,405
0,46681,Terror in a Texas Town,80,Terror in a Texas Town,7.1,13
7000000,578,Jaws,124,Jaws,7.5,2628
20000000,579,Jaws 2,116,Jaws 2,5.9,412
20500000,17692,Jaws 3-D,99,Jaws 3-D,4.2,266
0,17795,My Fellow Americans,101,My Fellow Americans,6.3,46
70000000,75,Mars Attacks!,106,Mars Attacks!,6.1,1544
3000000,13891,Citizen Ruth,104,Citizen Ruth,6.8,27
50000000,9390,Jerry Maguire,139,Jerry Maguire,6.7,941
6000000,378,Raising Arizona,94,Raising Arizona,7.2,548
0,10896,Tin Men,112,Tin Men,6.8,38
0,2322,Sneakers,126,Sneakers,6.7,301
0,41240,Bastard Out of Carolina,97,Bastard Out of Carolina,7.3,19
0,26949,In Love and War,113,In Love and War,6,28
23000000,9819,Marvin's Room,98,Marvin's Room,6.6,130
0,49799,Somebody Is Waiting,96,Somebody Is Waiting,0,0
0,31908,Ghosts of Mississippi,130,Ghosts of Mississippi,6.2,40
0,46027,Night Falls on Manhattan,113,Night Falls on Manhattan,6.6,24
12000000,3179,Beavis and Butt-Head Do America,81,Beavis and Butt-Head Do America,6.5,169
0,1802,La Cérémonie,111,La Cérémonie,7,40
14000000,4232,Scream,111,Scream,7,1520
40000000,9361,The Last of the Mohicans,112,The Last of the Mohicans,7.1,747
0,2928,Michael,105,Michael,5.5,174
0,30285,The Evening Star,129,The Evening Star,5.8,18
0,10549,Hamlet,242,Hamlet,7.3,118
0,58102,Some Mother's Son,112,Some Mother's Son,7,6
1300000,18451,The Whole Wide World,106,The Whole Wide World,6.4,9
0,27265,Mother,104,Mother,6.8,19
0,49935,Les voleurs,117,Thieves,7,5
55000000,8818,Evita,134,Evita,5.9,122
0,36758,The Portrait of a Lady,144,The Portrait of a Lady,6.3,46
0,36040,Walkabout,95,Walkabout,7.4,111
0,74239,Message to Love: The Isle of Wight Festival,127,Message to Love: The Isle of Wight Festival,6.4,4
0,9415,Murder at 1600,107,Murder at 1600,5.8,130
500000,55146,Hearts and Minds,113,Hearts and Minds,0,0
0,303693,Inside,94,Inside,0,1
0,12145,Fierce Creatures,93,Fierce Creatures,6,95
0,42424,Zeus & Roxanne,98,Zeus & Roxanne,4.2,16
55000000,34314,Turbulence,100,Turbulence,5.2,63
0,2892,Angel Baby,105,Angel Baby,7.7,3
0,9404,警察故事4之簡單任務,107,First Strike,6.5,101
0,85242,Underworld,95,Underworld,6,1
0,9622,Beverly Hills Ninja,88,Beverly Hills Ninja,5.5,176
55000000,8860,Metro,117,Metro,5.3,136
0,197537,La machine,0,The Machine,4.5,2
0,66597,Falling in Love Again,103,Falling in Love Again,6.1,4
0,14832,The Cement Garden,105,The Cement Garden,7.2,23
116000000,9619,Dante's Peak,108,Dante's Peak,5.8,445
0,40506,Meet Wally Sparks,105,Meet Wally Sparks,5.3,10
0,31000,Amos & Andrew,96,Amos & Andrew,5,47
0,4104,Benny & Joon,98,Benny & Joon,6.9,220
8000000,26306,Prefontaine,106,Prefontaine,6.7,21
0,203829,A Tickle in the Heart,90,A Tickle in the Heart,0,0
0,43775,Guantanamera,105,Guantanamera,8,3
0,14908,McHale's Navy,108,McHale's Navy,4.4,27
